pickup_location,destination_location,num_stops,distance_km,duration_min,actual_eta_min,weather,time_of_day,traffic_level
Christophershire,East Mollystad,0,115.63,123.23,128.82,Rainy,Evening,Moderate
Lake Karen,Port Samantha,2,261.82,359.72,329.18,Rainy,Afternoon,Moderate
Brownton,New Bryan,1,405.81,549.12,535.5,Cloudy,Morning,Moderate
Rogerstown,Rachelview,2,239.91,314.61,295.63,Rainy,Afternoon,Light
Port Robertberg,West Nicholas,2,223.0,333.56,346.85,Cloudy,Afternoon,Light
Jodifurt,East Jessica,1,125.45,159.5,172.37,Foggy,Morning,Heavy
Leslieborough,South Brendanside,0,207.36,225.14,229.23,Rainy,Evening,Light
Lake Melissa,Starkchester,0,40.04,42.32,39.91,Clear,Night,Heavy
Cliffordchester,Matthewbury,2,202.15,217.38,228.02,Clear,Evening,Heavy
Jameschester,South Meganfurt,3,245.48,284.64,272.98,Clear,Afternoon,Moderate
Tammyton,Madisonland,0,131.21,180.25,170.46,Clear,Afternoon,Light
Jeromefurt,Jonathanville,0,70.65,97.3,95.99,Clear,Evening,Light
Shellyside,Lake Jeffrey,2,282.57,348.66,327.92,Clear,Evening,Moderate
New Markshire,Debramouth,2,420.35,593.62,563.17,Foggy,Evening,Moderate
Yorktown,New Amanda,0,315.84,410.9,431.94,Cloudy,Night,Moderate
Mirandaport,Sherrihaven,0,265.73,374.81,390.0,Rainy,Afternoon,Moderate
Parkerchester,Mullinstown,3,238.06,342.26,313.23,Cloudy,Night,Light
Port Natalie,North Robert,3,280.03,341.16,308.78,Rainy,Morning,Heavy
Maryton,New Loriberg,3,476.62,655.02,608.02,Foggy,Morning,Moderate
South Jeanetteland,Levyhaven,3,399.03,487.2,459.63,Clear,Afternoon,Light
East Kathleenstad,North Nicole,2,281.2,289.1,271.97,Foggy,Evening,Moderate
Port Gregorystad,New Nicholas,0,425.64,472.24,501.95,Clear,Afternoon,Light
West Dillon,Colemanport,1,120.42,128.35,117.02,Rainy,Evening,Moderate
Jasonstad,Thomastown,2,23.32,33.45,35.17,Foggy,Evening,Moderate
Cynthiafort,Maryburgh,0,449.91,529.49,533.71,Rainy,Afternoon,Moderate
Jonmouth,Phillipsville,2,152.62,225.46,204.57,Foggy,Evening,Heavy
New Melaniehaven,South Adamview,2,387.77,558.84,583.94,Foggy,Morning,Heavy
North Sheilamouth,Port Annetteberg,0,35.07,49.6,52.77,Cloudy,Afternoon,Heavy
Beckyview,Joshuatown,0,325.36,436.13,424.59,Rainy,Night,Heavy
North Donaldtown,West Katrina,3,417.41,537.64,521.79,Clear,Afternoon,Moderate
East Robert,Riceport,3,286.2,311.23,323.68,Clear,Night,Heavy
Stacyview,Millerberg,1,116.26,137.27,146.43,Rainy,Morning,Light
Mckeestad,North Nicholasport,0,51.5,51.93,48.15,Foggy,Evening,Moderate
New David,Joshuaton,2,238.13,331.36,322.08,Rainy,Afternoon,Light
New Ashleyborough,Port Mercedesstad,0,487.58,569.28,553.68,Clear,Morning,Moderate
West Justin,North Mollyfurt,1,339.79,403.97,437.76,Foggy,Night,Heavy
Tylerfort,East Misty,1,185.46,212.05,208.1,Cloudy,Morning,Heavy
Lake Bonniemouth,Ellenfurt,0,270.33,381.38,361.51,Foggy,Morning,Light
Lake Willie,Tarahaven,1,406.58,458.04,441.67,Cloudy,Afternoon,Moderate
Natalieland,Lake Anthonystad,3,132.11,150.14,141.19,Cloudy,Afternoon,Light
East Aprilchester,West Brianna,3,306.02,390.91,396.44,Rainy,Night,Light
Johnsonbury,Christineside,2,281.15,380.98,348.02,Cloudy,Evening,Moderate
Lewiston,New Gregorystad,2,397.61,505.82,552.63,Cloudy,Evening,Moderate
Port Kevin,Mcdowelltown,1,170.82,177.24,173.19,Rainy,Night,Light
West Kristimouth,Maynardland,0,448.63,609.91,552.2,Cloudy,Evening,Light
East Laura,Charlesshire,2,269.36,283.55,295.05,Clear,Night,Heavy
Bryanton,Melissaborough,1,426.43,581.12,575.23,Clear,Night,Moderate
Lake Kendra,Christopherberg,1,103.91,149.62,151.35,Rainy,Night,Moderate
Cheyennemouth,Teresahaven,1,32.36,40.14,37.71,Clear,Afternoon,Heavy
Reyeschester,Port Andrew,0,215.99,268.84,290.14,Foggy,Night,Heavy
East Jacquelinebury,Port Jamietown,1,66.72,79.19,85.08,Clear,Morning,Moderate
West Tony,New Lisaton,1,139.56,205.18,218.2,Foggy,Afternoon,Moderate
Moranhaven,Lake Jennifer,0,307.24,334.41,312.78,Rainy,Afternoon,Heavy
East Patricia,Parkerville,0,462.21,573.27,536.25,Cloudy,Morning,Moderate
Thomasside,East Kimberlytown,1,271.67,339.96,367.04,Rainy,Evening,Light
Terrychester,Susantown,0,293.85,328.51,303.08,Foggy,Afternoon,Moderate
Samuelport,Wheelerfurt,1,171.35,184.73,166.32,Clear,Morning,Light
North Courtney,Kathleenshire,0,62.01,88.02,80.32,Rainy,Evening,Heavy
North Kyleberg,New Katherineburgh,1,497.16,714.41,679.08,Rainy,Morning,Heavy
Lanceside,Andersonmouth,1,178.57,261.17,266.92,Cloudy,Morning,Heavy
Christopherton,New Michael,1,461.17,594.5,645.92,Clear,Morning,Light
Dillontown,Sierrahaven,2,222.81,278.21,283.88,Clear,Afternoon,Light
Lake James,Port Robertfurt,3,353.25,387.2,406.51,Rainy,Afternoon,Heavy
New Josephhaven,Josephstad,0,398.85,496.94,464.56,Foggy,Night,Heavy
Flemingberg,Matthewborough,1,190.0,209.36,215.14,Cloudy,Night,Moderate
Liuton,Hughesside,2,144.31,147.34,154.58,Foggy,Afternoon,Light
South Jeffville,Michaelburgh,1,38.33,40.33,41.71,Rainy,Afternoon,Moderate
Christensenville,South Masonfort,2,383.68,447.56,453.34,Rainy,Evening,Heavy
New Mary,Evelynborough,2,38.55,47.02,44.91,Cloudy,Night,Light
Port Karenborough,South Corey,2,255.9,351.94,322.28,Rainy,Afternoon,Moderate
Davidfurt,East Sharon,3,37.51,53.3,56.13,Clear,Night,Light
New Jonathanmouth,Richardfurt,2,341.48,362.36,340.98,Clear,Night,Moderate
New Zacharyfort,New Robertview,3,311.26,337.48,330.38,Clear,Evening,Light
Michaelview,Olsenfurt,1,99.2,125.04,123.21,Rainy,Afternoon,Light
Kingmouth,Cruzfurt,2,395.4,558.86,564.46,Cloudy,Night,Heavy
Collinsstad,East Michaelstad,2,165.03,202.93,190.55,Rainy,Morning,Heavy
West Ann,North Nicole,1,422.02,560.8,610.53,Cloudy,Night,Light
East Annmouth,East Michaelland,1,282.7,357.3,359.04,Foggy,Night,Moderate
South Stephanieburgh,Eatonfurt,3,291.68,315.97,296.35,Cloudy,Night,Moderate
Howardfurt,West Kyleborough,3,460.19,543.79,515.16,Cloudy,Evening,Moderate
Ellismouth,Ronaldhaven,1,121.63,152.34,154.65,Rainy,Night,Light
Lake Graceland,Port Jasonside,0,495.56,726.59,732.33,Foggy,Evening,Light
New Johnville,Chadmouth,1,396.49,499.98,489.23,Clear,Morning,Heavy
Reynoldsbury,Sarahaven,0,189.84,200.41,188.94,Foggy,Night,Light
West Gregory,West Alexanderfurt,0,394.63,451.91,431.06,Foggy,Morning,Moderate
Philipfort,East Kayla,0,46.36,63.33,69.48,Cloudy,Morning,Heavy
East Jeanette,East Judymouth,0,279.68,387.06,361.67,Clear,Morning,Light
Lake Andrew,Johnsonmouth,2,417.34,504.05,520.42,Clear,Night,Moderate
Greenfort,North Leslie,0,384.2,539.41,511.26,Rainy,Morning,Light
South Jessica,Parkershire,3,15.94,18.41,20.08,Cloudy,Morning,Heavy
Williamsmouth,Youngburgh,1,463.07,685.79,653.25,Foggy,Afternoon,Moderate
South John,Stephentown,0,392.0,416.68,434.13,Foggy,Night,Moderate
East Jennifer,Wardmouth,0,457.99,558.1,555.47,Clear,Night,Light
South Kylebury,South Cindyview,2,477.96,627.13,569.82,Cloudy,Afternoon,Light
South Vanessabury,Burtontown,0,268.44,291.86,317.15,Rainy,Evening,Heavy
Angelaside,North Monicahaven,0,171.67,189.02,185.03,Cloudy,Evening,Light
Lake Andrewburgh,Danielberg,3,431.95,432.85,471.88,Rainy,Afternoon,Heavy
Fritzberg,South Jasonfurt,2,342.42,438.6,430.08,Clear,Morning,Heavy
Richardhaven,New Jeffrey,2,12.31,16.64,16.41,Rainy,Morning,Moderate
Cruzville,Kathleenmouth,2,289.7,305.63,303.07,Cloudy,Afternoon,Light
Nicholasstad,Schultzborough,2,219.51,305.6,305.2,Clear,Night,Moderate
New Jessicaport,Port Justinstad,2,306.89,347.81,325.73,Foggy,Night,Moderate
Port Kirk,Andersonville,3,265.52,316.55,289.94,Foggy,Morning,Light
Veronicashire,Lake Jody,2,497.17,497.73,510.81,Foggy,Morning,Moderate
North Daniel,Holmesmouth,0,135.89,160.49,173.93,Cloudy,Evening,Light
North Larryside,North Marcus,2,117.65,129.48,128.57,Clear,Night,Light
Blairville,Amberhaven,3,472.89,473.07,432.82,Clear,Afternoon,Heavy
West Jonathan,Smithhaven,0,174.91,180.94,184.13,Clear,Evening,Heavy
Amandamouth,Suzanneburgh,2,475.35,519.27,475.98,Rainy,Evening,Light
Baldwinton,Port Louis,0,359.52,492.49,508.13,Cloudy,Morning,Heavy
Jaredshire,Contrerastown,2,225.49,269.01,250.65,Foggy,Evening,Light
East Brendaview,South Jonathanchester,2,392.46,443.2,485.45,Foggy,Morning,Heavy
Keithtown,Hansonland,3,106.62,136.37,134.08,Rainy,Morning,Light
Christinefort,South Dana,1,182.17,225.76,230.43,Rainy,Evening,Light
Michaelshire,Dawnshire,3,109.98,114.01,123.85,Rainy,Morning,Heavy
Lake Michaelton,Larryton,3,414.29,543.64,532.11,Clear,Afternoon,Moderate
Danielleport,New Katherine,1,456.19,598.4,596.1,Foggy,Evening,Moderate
Freemanshire,Bryanfort,0,44.21,51.47,48.62,Foggy,Night,Moderate
Taylorberg,Rebeccamouth,0,233.44,313.19,319.68,Cloudy,Morning,Light
East Sydney,Charlestown,3,192.05,251.06,271.95,Clear,Morning,Heavy
Oconnorborough,Sanchezborough,1,90.46,93.65,98.73,Clear,Night,Heavy
Amandashire,West Kimberly,3,372.07,554.18,607.83,Rainy,Morning,Light
West Gregory,Robinsonberg,1,349.98,354.56,376.88,Rainy,Night,Light
Taylormouth,North Eric,1,28.98,29.1,29.21,Cloudy,Evening,Heavy
South Hannahbury,Codyside,2,183.11,191.85,185.53,Cloudy,Afternoon,Moderate
Smithville,East Timothy,2,490.56,710.28,656.05,Cloudy,Morning,Heavy
South Michelle,Zimmermanmouth,1,261.27,336.69,319.49,Clear,Afternoon,Moderate
Kimberlyville,North Jennifershire,1,234.31,239.25,261.44,Foggy,Night,Moderate
Adamsfort,Angelaland,0,215.21,317.93,330.4,Clear,Morning,Light
East Amyshire,Port Steventown,3,352.08,361.01,355.84,Cloudy,Night,Moderate
South Jose,Taylorside,0,64.29,92.19,88.82,Rainy,Morning,Light
North Kimberly,Melissaborough,0,178.27,246.99,233.12,Clear,Morning,Heavy
North Jeffrey,New Shelleybury,2,429.1,624.56,651.46,Rainy,Night,Heavy
Port Jenniferchester,East Kimberly,1,433.45,616.1,574.85,Cloudy,Morning,Light
Sandersland,Paulburgh,1,431.68,546.42,590.72,Rainy,Afternoon,Heavy
Suzanneland,Gayland,0,130.9,154.73,144.59,Clear,Morning,Heavy
Port Donaldmouth,West Andremouth,2,343.48,385.17,359.95,Rainy,Morning,Moderate
East Gary,South Jennifermouth,1,61.98,89.21,80.8,Cloudy,Morning,Heavy
East Teresa,West Ryan,3,27.38,29.0,28.5,Rainy,Night,Heavy
Sarahmouth,Ashleyville,0,300.21,379.09,342.05,Clear,Morning,Heavy
Lake Traceyburgh,Huynhtown,3,409.0,430.81,457.09,Clear,Afternoon,Heavy
Hamiltonport,Chadburgh,1,178.46,257.04,254.07,Cloudy,Evening,Light
Jasonbury,Christopherbury,2,35.41,38.9,42.77,Clear,Night,Moderate
South Jennifertown,North Nicole,1,334.22,385.22,410.33,Cloudy,Morning,Moderate
Adamborough,East Tanner,2,248.52,367.26,334.68,Clear,Afternoon,Light
Port Tiffanyborough,North Jennifer,0,138.25,158.99,165.8,Rainy,Evening,Heavy
East Courtneymouth,Andersonland,3,129.11,129.91,137.54,Foggy,Night,Light
Grahambury,Jamesmouth,1,52.95,55.14,59.68,Cloudy,Morning,Heavy
New Jessicaland,Melissafurt,3,257.28,331.71,355.95,Clear,Morning,Heavy
Leahburgh,Normanfurt,0,23.87,33.43,30.8,Clear,Night,Heavy
Robinsonmouth,Lake Aaronfort,3,111.93,136.5,126.35,Foggy,Night,Moderate
Port Jeremyshire,Theresashire,3,119.83,170.32,159.67,Rainy,Morning,Light
West Jennifer,Jacobland,1,485.23,580.34,612.81,Foggy,Night,Moderate
East Meghan,North Melissaside,3,424.41,490.72,513.67,Foggy,Evening,Light
Hooperstad,Robertoview,0,188.1,243.54,235.92,Foggy,Afternoon,Light
Port Vincent,Dennisburgh,0,141.96,204.74,195.05,Foggy,Afternoon,Heavy
East Michelleview,Stephaniehaven,1,153.37,164.65,149.08,Rainy,Night,Moderate
West Tracy,New Robert,1,339.91,394.25,361.25,Cloudy,Evening,Moderate
South Kendraport,North Melissamouth,3,334.1,385.17,356.13,Clear,Morning,Moderate
Ianfurt,Medinashire,1,194.18,261.57,272.82,Cloudy,Morning,Heavy
Gregoryland,West Gregory,3,249.15,300.57,282.22,Clear,Evening,Light
Deborahland,Lake Amandaside,2,146.22,150.71,137.88,Cloudy,Evening,Light
North Williamfurt,Sparksport,3,174.85,225.56,206.26,Clear,Morning,Moderate
East Stephanieburgh,Taylorview,2,305.43,353.08,376.65,Cloudy,Morning,Heavy
Port Jennifer,West Scottville,2,263.02,316.51,328.89,Cloudy,Afternoon,Heavy
Collinston,Browntown,2,250.63,254.1,231.19,Foggy,Night,Light
Reynoldsville,Karenview,2,199.67,233.21,249.8,Rainy,Night,Moderate
West Sharon,New Andrefort,0,39.23,50.8,49.85,Cloudy,Evening,Heavy
Nathanside,South Jamesville,3,428.38,434.84,470.41,Foggy,Night,Moderate
New Robert,North Cynthia,1,464.39,541.64,511.33,Foggy,Night,Heavy
Port Andrea,Davidberg,2,287.49,368.89,339.95,Cloudy,Morning,Light
Port Nicole,East Lisashire,0,406.65,606.52,666.34,Cloudy,Evening,Moderate
Lake Michelleview,West Laurahaven,2,185.89,200.03,216.61,Foggy,Night,Moderate
East Valerieland,Michaeltown,0,229.03,306.52,303.47,Foggy,Night,Moderate
West Krististad,Donaldborough,0,441.48,580.61,573.69,Clear,Night,Moderate
West Ricardoville,New Anna,2,195.32,261.26,250.26,Foggy,Evening,Light
Melissastad,East Thomas,2,367.34,379.49,415.65,Rainy,Evening,Moderate
Port Stephaniemouth,Juliefort,2,141.68,170.73,156.77,Cloudy,Morning,Light
Mitchellmouth,Pruittport,3,362.23,522.19,530.03,Foggy,Afternoon,Light
West Christineville,Maynardview,3,404.96,511.7,470.41,Foggy,Evening,Moderate
Laneport,Thompsonhaven,2,247.36,346.6,355.27,Clear,Afternoon,Heavy
Francischester,Woodshaven,3,461.74,681.48,698.38,Cloudy,Morning,Moderate
East Derrickbury,East Johnport,1,271.03,282.52,291.79,Cloudy,Night,Light
Lake Bradleyport,Boydton,2,66.74,75.31,69.2,Foggy,Evening,Heavy
Lake Catherinemouth,Port Robert,1,202.69,268.55,255.9,Clear,Morning,Moderate
Marquezburgh,Lake David,2,72.5,98.35,95.41,Cloudy,Morning,Light
Port Chad,North Sandyhaven,1,79.53,96.14,98.03,Foggy,Night,Heavy
West Molly,Port Peterbury,3,227.54,288.3,310.3,Cloudy,Night,Light
Robertsstad,Heatherberg,3,99.77,106.21,97.19,Cloudy,Afternoon,Heavy
South Emilyborough,Kelleymouth,1,28.29,37.15,38.04,Foggy,Afternoon,Light
North Mark,West Rodney,3,110.56,144.88,135.66,Cloudy,Evening,Light
Ashleyside,Petersenside,1,486.72,642.33,700.17,Rainy,Night,Light
Ericshire,Kellyfurt,2,298.36,409.57,405.99,Clear,Morning,Moderate
Christopherbury,Ernestland,0,408.66,508.35,546.17,Cloudy,Afternoon,Moderate
New Chad,North Sherry,0,236.65,313.64,324.9,Rainy,Afternoon,Moderate
Lake Bradleybury,Douglasport,1,450.27,484.78,471.86,Cloudy,Afternoon,Light
Lake Ronaldfurt,New Clinton,2,324.42,356.95,391.41,Foggy,Night,Moderate
South Robert,Stanleybury,1,54.98,79.81,86.92,Cloudy,Evening,Light
South Russell,Lake Andrew,1,82.09,99.57,95.3,Rainy,Afternoon,Light
Gregorymouth,Sanchezmouth,2,323.39,400.02,416.69,Clear,Morning,Heavy
Aaronton,Gordontown,2,348.8,416.36,413.69,Clear,Night,Heavy
North Leah,Port Mary,1,421.48,611.2,619.34,Foggy,Morning,Heavy
Patelchester,South Courtney,2,406.98,437.71,454.6,Cloudy,Night,Heavy
Natalieside,Lake Ashley,1,269.85,341.78,343.66,Rainy,Afternoon,Light
Richardhaven,Grayberg,0,97.75,106.7,111.1,Rainy,Morning,Moderate
Ellisburgh,Scottberg,3,152.98,169.92,177.09,Rainy,Afternoon,Light
New Warren,Chapmanmouth,1,237.3,354.52,365.88,Cloudy,Night,Moderate
Escobarburgh,East Alexandraport,3,131.23,187.01,195.82,Foggy,Night,Light
Schmidtmouth,East Lauren,0,18.92,21.74,20.13,Cloudy,Night,Light
New Shannon,West Elizabethside,2,371.35,509.14,534.3,Cloudy,Night,Light
Smithfurt,South Sarah,0,442.07,480.94,522.95,Rainy,Night,Moderate
Port Stephanieberg,Dennisshire,2,327.84,481.98,490.89,Rainy,Evening,Moderate
Hamiltonborough,East Elizabeth,2,97.09,99.56,109.16,Clear,Evening,Heavy
Cainstad,Kathleenfort,3,260.69,274.15,298.65,Rainy,Evening,Light
South Tonya,Josephborough,1,401.47,568.3,518.8,Foggy,Afternoon,Moderate
South Gerald,Susanfurt,0,381.64,559.4,575.55,Rainy,Morning,Light
New Danielle,Rogersmouth,2,169.91,198.15,212.5,Cloudy,Afternoon,Moderate
Christopherport,Danielborough,3,274.78,357.63,374.3,Rainy,Morning,Moderate
New Mark,West Gina,3,193.68,245.3,258.35,Clear,Morning,Heavy
Kaylafurt,Jordanmouth,0,385.15,555.83,551.87,Cloudy,Afternoon,Heavy
Moorestad,Christinaton,1,18.96,27.73,28.23,Rainy,Morning,Light
Christopherside,Kayleefort,2,196.86,251.62,263.55,Cloudy,Afternoon,Moderate
West Kevinland,North Katherineton,3,23.63,27.7,27.53,Cloudy,Afternoon,Light
South Lauraton,Scottville,2,402.28,550.43,557.85,Cloudy,Afternoon,Moderate
Port Jason,Jacquelinemouth,0,79.1,109.89,104.65,Clear,Night,Light
Port Bailey,Ashleefort,2,129.51,190.89,200.48,Foggy,Evening,Heavy
South Jeff,Katiestad,1,47.46,48.23,51.25,Foggy,Morning,Heavy
East Stephen,East James,3,126.3,163.27,158.42,Clear,Night,Light
Lake Tiffanyside,North Ashley,3,344.08,510.19,545.47,Foggy,Afternoon,Light
South Kyle,Lake Joannburgh,0,183.4,198.62,207.64,Cloudy,Morning,Heavy
Velazquezchester,North Rachelbury,1,216.95,260.34,267.8,Cloudy,Afternoon,Light
Robinsonstad,Stokesside,3,357.82,407.9,435.43,Cloudy,Evening,Moderate
Jonesside,Justinshire,3,487.97,544.64,512.99,Clear,Night,Moderate
South Normaburgh,East Lisafort,3,82.6,90.01,95.57,Clear,Evening,Heavy
Davidmouth,New Alicia,3,420.49,423.3,461.45,Cloudy,Afternoon,Light
Thomasside,Richardport,2,216.39,293.33,275.59,Cloudy,Night,Heavy
North Timothy,Brandonmouth,1,85.05,95.37,98.99,Foggy,Night,Light
Port Heather,Tonyaview,0,238.49,255.87,240.91,Cloudy,Night,Heavy
Port Maryfurt,Mariahaven,2,139.7,174.01,168.45,Cloudy,Morning,Moderate
Port Jill,North Christopher,1,140.74,188.29,203.52,Cloudy,Morning,Moderate
Vincentmouth,Davidchester,3,67.4,84.55,76.19,Cloudy,Evening,Light
Fisherhaven,Lake Dustinborough,1,318.96,346.84,354.52,Cloudy,Evening,Light
Michaelberg,Coreyfort,3,187.52,263.68,239.3,Cloudy,Night,Light
Marcton,Aprilside,2,102.7,118.22,121.44,Rainy,Morning,Moderate
Robertshire,Richardbury,0,325.17,394.54,414.09,Foggy,Evening,Moderate
West Shannon,Nicoleview,1,418.5,528.68,575.01,Clear,Evening,Light
Fostermouth,South Dominicfort,0,238.4,244.22,242.05,Foggy,Afternoon,Moderate
Petersonfort,New Natalieburgh,0,399.09,405.72,394.75,Rainy,Afternoon,Heavy
Lake Andrew,Lake Julia,2,167.79,207.61,224.77,Rainy,Evening,Heavy
South John,New Jamieshire,2,343.01,416.7,384.39,Cloudy,Night,Moderate
Franklinport,New Andrewfort,3,324.64,476.48,521.65,Rainy,Evening,Heavy
Nicoleton,Williamsonland,2,460.71,575.88,570.26,Rainy,Afternoon,Heavy
Stevensshire,North Zacharyberg,3,239.25,308.35,338.35,Rainy,Evening,Heavy
Johnsonfort,Davidmouth,2,127.03,152.43,157.02,Cloudy,Evening,Heavy
South Timothyberg,Port Kristophertown,0,492.61,726.06,676.23,Cloudy,Morning,Light
Robinsonfort,West Jasonberg,2,346.69,372.12,378.91,Foggy,Morning,Moderate
Andersonfort,New Christina,0,390.86,449.86,424.66,Cloudy,Night,Light
Gonzaleztown,Clementshaven,2,496.58,574.03,587.73,Clear,Night,Moderate
Ramosside,East Brendaborough,3,137.51,173.46,167.87,Foggy,Night,Moderate
Markville,Lake Michaelmouth,2,223.79,313.63,282.57,Clear,Afternoon,Moderate
Matthewside,Port Jeffreymouth,0,175.0,193.63,205.59,Rainy,Morning,Light
Matthewville,Nelsonchester,3,260.94,314.57,330.85,Rainy,Evening,Light
Port David,Jonesstad,3,432.97,640.48,702.58,Cloudy,Night,Heavy
North Josebury,Beltranchester,3,77.36,111.43,110.65,Foggy,Morning,Heavy
South Nancyborough,Gregoryfort,2,219.52,325.46,328.94,Clear,Morning,Moderate
South Katelyn,Reyesberg,1,22.59,24.18,25.21,Cloudy,Evening,Light
Michaelberg,West Tomtown,0,187.13,188.5,200.65,Rainy,Night,Light
East Ericburgh,Cardenasland,0,104.38,124.72,120.93,Clear,Morning,Moderate
Lake Traci,New Ronald,1,84.04,90.57,89.92,Clear,Evening,Moderate
South Peter,New Bobby,2,31.87,44.33,46.93,Cloudy,Evening,Heavy
Devintown,Phillipsside,3,470.89,522.38,565.73,Cloudy,Morning,Light
Scottton,East Carol,1,323.64,447.76,441.92,Clear,Evening,Heavy
Gonzalezton,Lindsayshire,2,78.97,88.09,86.88,Cloudy,Afternoon,Heavy
North Crystalview,South Mark,3,464.49,614.53,653.1,Rainy,Afternoon,Light
Port Michael,Brownshire,3,251.17,345.58,329.55,Rainy,Night,Light
Nicholasmouth,Lake Julia,2,392.54,427.5,422.69,Cloudy,Afternoon,Heavy
East Shirleyborough,East Jenniferborough,3,244.88,310.03,303.74,Rainy,Afternoon,Moderate
Higginsshire,Barnettville,0,226.94,230.9,250.22,Rainy,Afternoon,Light
Leviland,Lake Brettborough,0,45.76,52.6,50.23,Foggy,Evening,Moderate
Stephanietown,Heatherburgh,0,410.39,473.97,438.38,Clear,Evening,Heavy
Port Virginiaville,New Joel,0,89.92,117.59,113.67,Cloudy,Afternoon,Heavy
Zacharymouth,Tranfurt,0,416.15,618.51,667.25,Rainy,Evening,Moderate
Newtonland,Bennetttown,3,348.29,402.51,441.89,Clear,Evening,Heavy
South Frank,Wallaceborough,2,427.97,539.51,576.54,Foggy,Afternoon,Heavy
Russoview,Lake Taylorhaven,3,126.21,188.01,196.54,Foggy,Night,Heavy
East Annaside,Port Brandyhaven,1,483.01,587.23,604.64,Cloudy,Evening,Heavy
Lake Dawn,Lake Allisonhaven,0,286.27,362.42,366.77,Foggy,Evening,Moderate
Marksborough,Jenniferview,0,20.98,30.2,32.37,Cloudy,Afternoon,Heavy
Port Vickiville,Cantuside,3,323.08,450.13,436.97,Foggy,Afternoon,Moderate
North Sarahland,Lynnberg,2,380.01,543.49,544.66,Cloudy,Night,Heavy
East John,East Hunter,0,258.18,274.29,269.01,Foggy,Night,Moderate
Port Zacharymouth,Port Ashley,0,456.0,543.34,499.85,Clear,Evening,Heavy
East Kevin,Kennethport,2,10.01,10.43,9.54,Cloudy,Morning,Light
Stephenstown,Perryview,2,213.2,233.65,234.71,Clear,Morning,Heavy
North Blake,South Michaelview,3,244.74,268.32,277.06,Foggy,Evening,Heavy
Middletontown,Ericland,3,212.72,270.48,262.39,Cloudy,Night,Heavy
South Vanessabury,West Lisahaven,3,194.62,288.21,284.05,Clear,Afternoon,Light
Davisfurt,Mitchellburgh,3,390.47,501.36,543.7,Cloudy,Evening,Light
Josephland,Port Abigail,3,344.47,422.99,398.84,Foggy,Night,Heavy
South Laura,North Juanchester,1,357.5,405.19,418.42,Foggy,Morning,Heavy
Port Jasonmouth,New Johnshire,0,168.78,187.08,193.63,Clear,Morning,Moderate
Port Ronniehaven,Hernandezhaven,3,202.85,241.37,261.73,Clear,Night,Heavy
Smithborough,Michelleland,3,248.16,321.42,345.75,Clear,Afternoon,Heavy
East Samanthatown,South Juan,2,130.14,148.21,146.89,Foggy,Evening,Moderate
Jamieburgh,Lake Nancy,2,460.58,677.46,711.97,Clear,Morning,Heavy
Mannbury,Owensland,2,437.26,585.52,539.93,Foggy,Night,Heavy
West Matthewside,Deannahaven,1,282.17,406.01,374.79,Cloudy,Morning,Light
Davidstad,Cynthiachester,0,399.39,400.97,377.14,Cloudy,Night,Heavy
Michaelfort,Lewisshire,2,467.55,517.0,517.38,Foggy,Evening,Light
Williamsstad,New Brianmouth,2,54.18,71.58,72.08,Clear,Afternoon,Heavy
West Dustin,Hollymouth,2,275.26,384.26,383.71,Clear,Morning,Heavy
West Kellymouth,Mistyland,1,192.37,217.54,224.69,Clear,Evening,Light
Jamesview,West James,0,151.89,184.56,170.48,Clear,Night,Light
North Andremouth,South Edwardfurt,0,152.89,170.66,178.8,Cloudy,Morning,Heavy
New Angelaland,New Jennifer,1,34.71,45.27,46.98,Clear,Evening,Heavy
Johnsonborough,Dickersonville,0,434.2,555.17,588.51,Foggy,Night,Heavy
Port Victorchester,Ryanberg,1,395.88,535.06,535.62,Rainy,Night,Light
Lake Karlbury,North Scott,0,449.96,458.15,439.54,Rainy,Afternoon,Light
Stewartfurt,South Amanda,1,214.08,265.11,249.7,Foggy,Afternoon,Heavy
East Philip,East Brittanystad,0,337.82,469.54,475.0,Cloudy,Afternoon,Moderate
Jacksonbury,Tammyhaven,0,146.33,149.4,136.91,Cloudy,Afternoon,Heavy
Scottbury,Harrisonburgh,2,225.31,266.45,260.22,Foggy,Morning,Moderate
Brettbury,Rebeccatown,1,233.24,336.73,358.33,Foggy,Evening,Light
Rhodesbury,New Sharon,3,198.91,228.64,251.5,Clear,Morning,Moderate
New Johnview,North Rebecca,2,25.98,32.1,34.06,Cloudy,Afternoon,Heavy
Brendanshire,South Maryville,0,497.8,738.13,774.94,Cloudy,Morning,Moderate
Brendatown,Ashleytown,1,85.34,117.23,107.73,Cloudy,Night,Moderate
West Chelseahaven,Andrewfort,2,367.25,535.28,583.73,Foggy,Morning,Light
New Joseph,Lake Deanna,1,446.01,546.17,508.0,Foggy,Afternoon,Moderate
Cardenastown,East Anthonytown,3,201.58,228.08,211.9,Cloudy,Afternoon,Light
North Alexaburgh,Lake Jacob,2,255.75,332.33,353.15,Cloudy,Afternoon,Heavy
Lake Anthonymouth,Nelsonfurt,3,302.21,407.37,427.79,Cloudy,Night,Moderate
West Brian,Wardport,1,187.26,267.99,255.84,Cloudy,Morning,Moderate
West Davidfort,South Kristen,1,401.26,560.06,554.85,Cloudy,Morning,Heavy
Hammondborough,Mclaughlinshire,1,95.75,122.09,132.46,Cloudy,Morning,Light
